"lemma","originalCandidate","pos","candidateLevel","article","sourceCourses","courseUnits","firstChapter","sourceInflections","officialForms","officialPOS","officialHeadwordFound","zh","exampleNb","exampleZh","resolution"
"sette","sette","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","05D","5","sette – setter – satte – satt / setter, satte, har satt","satt · satte · sett · sette · settende · setter · settes","VERB","True","放置；使坐下","Jeg setter seg ned.","","Ordbank 词头匹配"
"sol","sol","名词","A1","ei","NTNU LearnNoW; NorweigenLearn 当前词库","05B","5","ei sol · sola · soler · solene / sola, soler, solene","sol · sola · solen · solene · soler","NOUN","True","太阳；阳光","Sola skinner i dag. / Vi sitter i sola på terrassen.","今天阳光明媚。 / 我们坐在露台上晒太阳。","Ordbank 词头匹配"
"huske","huske","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","06A; 11A","6","huske – husker – husket – husket / husker, husket, har husket","husk · huska · huske · huskede · husken · huskende · huskene · husker · huskes · husket · huskete","VERB","True","记得","Jeg husker det.","","Ordbank 词头匹配"
"etterpå","etterpå","副词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","06A","6","etterpå","etterpå","ADV","True","之后；过一会儿；后来","Vi spiser først, og så går vi en tur etterpå. / Jeg ringer deg etterpå.","我们先吃饭，然后再去散步。 / 我过一会儿给你打电话。","Ordbank 词头匹配"
"glad","glad","形容词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","06A","6","glad · glad · glade · gladere · gladest / glad, glade","glad · glada · glade · gladene · gladere · gladest · gladeste · gladet","ADJ","True","高兴的；开心的；乐意的","Jeg er glad for at du kan komme. / Barna er glade i besteforeldrene sine.","我很高兴你能来。 / 孩子们喜欢 / 爱他们的祖父母。","Ordbank 词头匹配"
"kniv","kniv","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","06A","6","en kniv · kniven · kniver · knivene / kniven, kniver, knivene","kniv · kniven · knivene · kniver","NOUN","True","刀；餐刀","Kan jeg få en kniv? / Kniven ligger ved siden av tallerkenen.","可以给我一把刀吗？ / 餐刀在盘子旁边。","Ordbank 词头匹配"
"liten","liten","形容词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","06B","6","lita(f), lite(n), små(pl), det/det lille, de små / liten · lite · små · mindre · minst","lille · lita · lite · liten · mindre · minst · minste · små · smått · vesle","ADJ","True","小；小的","Vi har et lite kjøkken. / Det minste rommet er barnets.","我们有一个小厨房。 / 最小的房间是孩子的。","Ordbank 词头匹配"
"penge","penger","名词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","06D","6","pengene (plural word) / penger · pengene · — · —","penger","NOUN","True","钱","Jeg betaler med penger.","我用钱付款。","按 Ordbank 屈折形式归回词头"
"pris","pris","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","06C","6","en pris · prisen · priser · prisene / prisen, priser, prisene","pris · prisen · prisene · priser","NOUN","True","价格","Hva er prisen på denne jakka? / Prisene har gått opp.","这件外套多少钱？ / 价格上涨了。","Ordbank 词头匹配"
"sentrum","sentrum","名词","A1","et","NTNU LearnNoW; NorweigenLearn 当前词库","06A","6","et sentrum · sentrumet · sentrum · sentrumene / sentret, sentre, sentrene","sentra · sentraene · sentre · sentrene · sentrum · sentruma · sentrumene · sentrumet","NOUN","True","市中心；中心区域","Butikken ligger i sentrum. / Vi tar bussen til sentrum.","商店在市中心。 / 我们坐公交去市中心。","Ordbank 词头匹配"
"sulten","sulten","形容词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","06D","6","sulten · sultent · sultne · sultnere · sultnest / sultent, sultne","sulten · sultent · sultne · sultnere · sultnest · sultneste","ADJ","True","饿的","Er du sulten? Maten er klar. / Barna er sultne etter turen.","你饿了吗？饭做好了。 / 孩子们散步后饿了。","Ordbank 词头匹配"
"tallerken","tallerken","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","06A","6","en tallerken · tallerkenen · tallerkener · tallerkenene / tallerkenen, tallerkner, tallerknene","tallerken · tallerkenen · tallerkenene · tallerkener","NOUN","True","盘子","Jeg setter tallerkenen på bordet. / Vi trenger flere tallerkener.","我把盘子放在桌上。 / 我们还需要几个盘子。","Ordbank 词头匹配"
"tørst","tørst","形容词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","06D","6","tørst · tørst · tørste / tørst, tørste","tørst · tørste · tørsten · tørstene · tørster · tørstere · tørstest · tørsteste","ADJ","True","渴的","Jeg er tørst. Kan jeg få vann? / De er tørste etter treningen.","我渴了。可以给我水吗？ / 他们锻炼后口渴。","Ordbank 词头匹配"
"vann","vann","名词","A1","et","NTNU LearnNoW; NorweigenLearn 当前词库","06A; 11B","6","vann · vannet · — · — / vannet (uncountable) / vannet, vann, vannene","vann · vanna · vannene · vannet","NOUN","True","水","Jeg drikker vann hver dag.","我每天喝水。","Ordbank 词头匹配"
"datter","datter","名词","A1","ei","NTNU NoW1; NorweigenLearn 当前词库","07A","7","ei datter · dattera · døtre · døtrene","datter · dattera · datteren · døtre · døtrene · døtrer","NOUN","True","女儿","Dattera mi er fem år. / De har to døtre.","我女儿五岁。 / 他们有两个女儿。","Ordbank 词头匹配"
"møte","møte","名词","A1","et","NTNU LearnNoW; NorweigenLearn 当前词库","07B","7","et møte · møtet · møter · møtene / møtet, møter, møtene","møt · møta · møte · møtende · møtene · møter · møtes · møtet · møtt · møtte","NOUN","True","会议；会面","Jeg har et møte klokka ni. / Møtet begynner snart.","我九点有个会议。 / 会议很快开始。","Ordbank 词头匹配"
"uke","uke","名词","A1","ei","NTNU LearnNoW; NorweigenLearn 当前词库","07B","7","ei uke · uka · uker · ukene / uka, uker, ukene","uka · uke · uken · ukene · uker","NOUN","True","星期；周","Jeg lærer norsk hver uke.","我每周学挪威语。","Ordbank 词头匹配"
"feber","feber","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","08B; 10A","8","feber · feberen / feberen, febere, feberne","feber · febere · feberen · feberne · febre · febrene · febrer","NOUN","True","发烧；发热","Barnet har feber i dag. / Feberen gikk ned etter medisinen.","孩子今天发烧。 / 吃药后烧退了。","Ordbank 词头匹配"
"helg","helg","名词","A1","ei","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","08A; 10D","8","ei helg · helga · helger · helgene / helga, helger, helgene","helg · helga · helgen · helgene · helger","NOUN","True","周末","Hva skal du gjøre i helga? / Vi har fri denne helga.","你这个周末打算做什么？ / 这个周末我们休息。","Ordbank 词头匹配"
"høst","høst","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","08A; 10B","8","en høst · høsten · høster · høstene / høsten, høster, høstene","høst · høsten · høstene · høster","NOUN","True","秋天","Trærne skifter farge om høsten. / Høsten er fin på fjellet.","树木在秋天变色。 / 秋天的山间很美。","Ordbank 词头匹配"
"hånd","hånd","名词","A1","ei","NTNU LearnNoW; NorweigenLearn 当前词库","08A","8","hånd · hånda · hånden · hender · hendene / hånda, hender, hendene","hånd · hånda · hånden · hendene · hender","NOUN","True","手（手掌及手腕部分）","Barnet holder moren i hånda. / Husk å vaske hendene før du lager mat.","孩子牵着妈妈的手。 / 做饭前记得洗手。","Ordbank 词头匹配"
"oppgave","oppgave","名词","A1","ei","NTNU LearnNoW; NorweigenLearn 当前词库","08D","8","ei oppgave · oppgaven · oppgaver · oppgavene / oppgava, oppgaver, oppgavene","oppgava · oppgave · oppgaven · oppgavene · oppgaver","NOUN","True","任务；作业；题目","Jeg gjør oppgavene etter kurset. / Læreren gir oss ei ny oppgave.","我在课程结束后做作业。 / 老师给我们一项新任务。","Ordbank 词头匹配"
"pause","pause","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","08B","8","en pause · pausen · pauser · pausene / pausen, pauser, pausene","pause · pausen · pausene · pauser","NOUN","True","休息；休息时间","Vi tar en pause etter timen. / Pausen varer i ti minutter.","下课后我们休息一下。 / 休息时间持续十分钟。","Ordbank 词头匹配"
"regn","regn","名词","A1","et","NTNU LearnNoW; NorweigenLearn 当前词库","08C","8","regn · regnet / regnet","regn · regna · regnene · regnet","NOUN","True","雨；降雨","Det kommer til å regne i morgen. / Vi fikk mye regn i helga.","明天会下雨。 / 周末下了很多雨。","Ordbank 词头匹配"
"skog","skog","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","08C","8","en skog · skogen · skoger · skogene / skogen, skoger, skogene","skog · skogen · skogene · skoger","NOUN","True","森林；树林","Vi går en tur i skogen etter lunsj. / Det er mange små skoger i området.","午饭后我们去森林里散步。 / 这个地区有许多小片树林。","Ordbank 词头匹配"
"vind","vind","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","08C","8","en vind · vinden · vinder · vindene / vinden, vinder, vindene","vind · vinde · vinden · vindene · vinder · vindere · vindest · vindeste · vindt","NOUN","True","风","Det blåser en kald vind i dag. / Vinden kommer fra nord.","今天刮着冷风。 / 风从北方吹来。","Ordbank 词头匹配"
"navn","navn","名词","A1","et","NTNU LearnNoW; NorweigenLearn 当前词库","09C","9","et navn · navnet · navn · navnene / navnet, navn, navnene","navn · navna · navnene · navnet","NOUN","True","名字","Hva er navnet ditt?","你叫什么名字？","Ordbank 词头匹配"
"ofte","ofte","副词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","09C","9","ofte · oftere · oftest","ofte · oftere · oftest","ADV","True","经常；常常","Jeg tar ofte bussen til jobb. / Vi besøker familien oftere om sommeren.","我经常坐公交上班。 / 夏天我们更常去看家人。","Ordbank 词头匹配"
"tid","tid","名词","A1","ei","NTNU LearnNoW; NorweigenLearn 当前词库","09C","9","ei tid · tida · tider · tidene / tida, tider, tidene","tid · tida · tiden · tidene · tider","NOUN","True","时间","Jeg har tid i dag.","我今天有时间。","Ordbank 词头匹配"
"vanligvis","vanligvis","副词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","09C","9","vanligvis","vanligvis","ADV","True","通常；一般来说","Jeg jobber vanligvis hjemme på fredager. / Vanligvis går toget hvert kvarter.","我通常周五在家工作。 / 通常火车每十五分钟一班。","Ordbank 词头匹配"
"aldri","aldri","副词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","10D","10","aldri","aldri","ADV","True","从不；从来没有","Jeg kommer aldri for sent på jobb. / Han har aldri vært i Bergen.","我上班从不迟到。 / 他从来没有去过卑尔根。","Ordbank 词头匹配"
"hjerte","hjerte","名词","A1","et","NTNU LearnNoW; NorweigenLearn 当前词库","10C","10","et hjerte · hjertet · hjerter · hjertene / hjertet, hjerter, hjertene","hjerta · hjerte · hjertene · hjerter · hjertet","NOUN","True","心脏；心（情感或象征义）","Hjertet slår raskere når jeg løper. / Hun tegnet et rødt hjerte på kortet.","我跑步时心跳得更快。 / 她在卡片上画了一颗红心。","Ordbank 词头匹配"
"kald","kald","形容词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","10A; 12A","10","kald · kaldt · kalde · kaldere · kaldest / kald, kaldt, kalde / kaldt, kalde","kald · kalde · kaldere · kaldest · kaldeste · kaldt","ADJ","True","冷的；凉的","Det er kaldt ute i dag. / Vannet er kaldt.","今天外面很冷。 / 水是凉的。","Ordbank 词头匹配"
"kropp","kropp","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","10D","10","en kropp · kroppen · kropper · kroppene / kroppen, kropper, kroppene","kropp · kroppen · kroppene · kropper","NOUN","True","身体","Hele kroppen er trøtt etter turen. / Kroppen trenger hvile.","散步之后全身都累。 / 身体需要休息。","Ordbank 词头匹配"
"natt","natt","名词","A1","ei","NTNU LearnNoW; NorweigenLearn 当前词库","10A","10","ei natt · natta/natten · netter · nettene / natta, netter, nettene","natt · natta · natten · nettene · netter","NOUN","True","夜；夜晚（通常指睡觉的一段夜间时间）","Jeg sov dårlig i natt. / Det var tre kalde netter på rad.","我昨晚没睡好。 / 连续有三个寒冷的夜晚。","Ordbank 词头匹配"
"varm","varm","形容词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","10A","10","varm · varmt · varme · varmere · varmest / varmt, varme","varm · varme · varmere · varmest · varmeste · varmt","ADJ","True","暖和的；热的","Jeg trenger ei varm jakke. / Suppa er varm nå.","我需要一件暖和的外套。 / 汤现在是热的。","Ordbank 词头匹配"
"vinter","vinter","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","10B","10","en vinter · vinteren · vintre · vintrene / vinteren, vintre, vintrene","vinter · vintere · vinteren · vinterne · vintre · vintrene · vintrer","NOUN","True","冬天","Det snør ofte om vinteren. / Vinteren var kald i fjor.","冬天经常下雪。 / 去年的冬天很冷。","Ordbank 词头匹配"
"nese","nese","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","12A","12","en nese · nesen · neser · nesene / nesen, neser, nesene","nesa · nese · nesen · nesene · neser","NOUN","True","鼻子","Jeg puster gjennom nesen. / Barnet er forkjølet og har rennende nese.","我用鼻子呼吸。 / 孩子感冒了，还流鼻涕。","Ordbank 词头匹配"
"blod","blod","名词（通常不可数）","A1","","NorweigenLearn 当前词库","","","et blod · blodet · blod · blodene","blod · bloda · blodene · blodet","NOUN","True","血；血液","Legen tar en blodprøve. / Blodet er viktig for kroppen.","医生抽取一份血液样本。 / 血液对身体很重要。","Ordbank 词头匹配"
"blomst","blomst","名词","A1","","NorweigenLearn 当前词库","","","en blomst · blomsten · blomster · blomstene","blomst · blomsten · blomstene · blomster","NOUN","True","花；一朵花","Hun kjøper en blomst til læreren. / Blomstene trenger vann.","她给老师买了一朵花。 / 这些花需要水。","Ordbank 词头匹配"
"egg","egg","名词","A1","","NorweigenLearn 当前词库","","","et egg · egget · egg · eggene","egg · egga · eggen · eggene · egger · egget","NOUN","True","鸡蛋","Jeg koker et egg til frokost. / Eggene er ferdige.","我早餐煮一个鸡蛋。 / 鸡蛋做好了。","Ordbank 词头匹配"
"fugl","fugl","名词","A1","","NorweigenLearn 当前词库","","","en fugl · fuglen · fugler · fuglene","fugl · fuglen · fuglene · fugler","NOUN","True","鸟；一只鸟","Det sitter en fugl i treet. / Fuglene synger tidlig om morgenen.","树上停着一只鸟。 / 鸟儿一大早就在唱歌。","Ordbank 词头匹配"
"gaffel","gaffel","名词","A1","","NorweigenLearn 当前词库","","","en gaffel · gaffelen · gafler · gaflene","gaffel · gaffelen · gaflene · gafler","NOUN","True","叉子","Vi trenger en gaffel til. / Gaflene ligger i skuffen.","我们还需要一把叉子。 / 叉子在抽屉里。","Ordbank 词头匹配"
